Id Servicio,Satisfacción,% SATISFACCION,Año,Mes,Nombre del Servicio,Departamento,Codigo Banco,Nombre Banco,Componente,Solicitados,Entregados
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,11-001-6  ,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,GLOBULOS ROJOS POBRES EN LEUCOCITOS,12.0,12.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,11-001-6  ,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),3.0,3.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,08-001-13 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BARRANQUILLA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,7.0,7.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,08-001-13 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BARRANQUILLA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),2.0,2.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,2.0,2.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,11-001-6  ,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,PLASMA FRESCO CONGELADO,1.0,1.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,08-001-13 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BARRANQUILLA,PLASMA FRESCO CONGELADO,19.0,19.0
18.0,100.0,100.0,2017.0,SEPTIEMBRE,SYNLAB SEDE CLINICA ANTIOQUIA DEL NORTE,ANTIOQUIA,08-001-13 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BARRANQUILLA,CRIOPRECIPITADO,6.0,6.0
20.0,96.52173913043478,96.52173913043478,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,115.0,111.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,24.0,24.0
20.0,64.51612903225806,64.51612903225806,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,31.0,20.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),14.0,14.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,CRIOPRECIPITADO,12.0,12.0
20.0,91.17647058823528,91.17647058823528,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,34.0,31.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),8.0,8.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLAQUETAS AFERESIS,3.0,3.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,CRIOPRECIPITADO,6.0,6.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,PLASMA FRESCO CONGELADO,11.0,11.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,05-001-10 ,CLINICA MEDELLIN,GLOBULOS ROJOS POBRES EN LEUCOCITOS,1.0,1.0
20.0,100.0,100.0,2017.0,ENERO,LABORATORIO TEST,ANTIOQUIA,05-001-6  ,CLINICA CARDIO VID,GLOBULOS ROJOS POBRES EN LEUCOCITOS,2.0,2.0
20.0,100.0,100.0,2017.0,FEBRERO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,85.0,85.0
20.0,100.0,100.0,2017.0,FEBRERO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,8.0,8.0
20.0,100.0,100.0,2017.0,FEBRERO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,10.0,10.0
20.0,100.0,100.0,2017.0,FEBRERO,LABORATORIO TEST,ANTIOQUIA,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,15.0,15.0
20.0,97.31543624161074,97.31543624161074,2017.0,MARZO,LABORATORIO TEST,ANTIOQUIA,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,149.0,145.0
