Año,Mes,Nombre Servicio,Departamento,Municipio,Codigo Banco,Nombre Banco,componente,Solicitados,Entregados,% Satisfaccion
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,74,50,"67,57"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,PLAQUETAS AFERESIS,5,5,"100,00"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,CRIOPRECIPITADO,12,12,"100,00"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,ALICUOTA DE GLOBULOS ROJOS FILTRADA,8,8,"100,00"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),1,1,"100,00"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,11-001-36 ,FUNDACION BANCO NACIONAL DE SANGRE HEMOLIFE SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,16,16,"100,00"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,78,50,"64,10"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,CRIOPRECIPITADO,10,10,"100,00"
2024,ENERO,LABORATORIO TEST,ANTIOQUIA,MEDELLÍN,11-001-32 ,FUNDACION HEMATOLOGICA COLOMBIA SEDE BOGOTA,GLOBULOS ROJOS LEUCORREDUCIDOS (FILTRADOS),8,8,"100,00"
2024,ENERO,E.S.E HOSPITAL LA MERCED DE CIUDAD BOLIVAR,ANTIOQUIA,CIUDAD BOLÍVAR,05-001-4  ,CRUZ ROJA COLOMBIANA SECCIONAL ANTIOQUIA,GLOBULOS ROJOS POBRES EN LEUCOCITOS,19,18,"94,74"
