id_periodo,Año,Mes,Nombre Servicio,Departamento,Municipio,Servicio Hospitalario,Total Pacientes,Total Componentes
,2024,ENERO,UNIDAD HOSPITALARIA DE BELEN HECTOR ABAD GOMEZ,ANTIOQUIA,MEDELLÍN,Urgencias,15,30
,2024,ENERO,UNIDAD HOSPITALARIA DE BELEN HECTOR ABAD GOMEZ,ANTIOQUIA,MEDELLÍN,Medicina Interna,8,15
,2024,ENERO,NUEVA CLINICA SAGRADO CORAZON S.A.S,ANTIOQUIA,MEDELLÍN,Urgencias,37,86
,2024,ENERO,NUEVA CLINICA SAGRADO CORAZON S.A.S,ANTIOQUIA,MEDELLÍN,UCI Adultos,5,30
,2024,ENERO,NUEVA CLINICA SAGRADO CORAZON S.A.S,ANTIOQUIA,MEDELLÍN,Cirugia General,6,21
,2024,ENERO,NUEVA CLINICA SAGRADO CORAZON S.A.S,ANTIOQUIA,MEDELLÍN,Hematologia,32,114
,2024,ENERO,NUEVA CLINICA SAGRADO CORAZON S.A.S,ANTIOQUIA,MEDELLÍN,Medicina Interna,15,32
,2024,ENERO,NUEVA CLINICA SAGRADO CORAZON S.A.S,ANTIOQUIA,MEDELLÍN,Unidad de cuidado intermedio adultos,7,17
,2024,ENERO,SYNLAB SEDE CIUDAD DEL RIO,ANTIOQUIA,MEDELLÍN,Urgencias,18,37
,2024,ENERO,SYNLAB SEDE CIUDAD DEL RIO,ANTIOQUIA,MEDELLÍN,Ginecologia,10,37
,2024,ENERO,SYNLAB SEDE CIUDAD DEL RIO,ANTIOQUIA,MEDELLÍN,Obstetricia,22,52
,2024,ENERO,SYNLAB SEDE CIUDAD DEL RIO,ANTIOQUIA,MEDELLÍN,Neonatos (Unidad de cuidado intensivo o intermedio neonatal),21,73
,2024,ENERO,SYNLAB SEDE CIUDAD DEL RIO,ANTIOQUIA,MEDELLÍN,Medicina Interna,13,49
,2024,ENERO,SYNLAB SEDE CIUDAD DEL RIO,ANTIOQUIA,MEDELLÍN,Otros,14,29
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,Urgencias,5,9
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,Neonatos (Unidad de cuidado intensivo o intermedio neonatal),3,6
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,Pediatria (UCI o unidad de cuidado intermedio pediatrica),9,45
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,UCI Adultos,26,402
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,Cirugia Cardiotoracica,38,257
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,Medicina Interna,17,29
,2024,ENERO,CLINICA CARDIO VID,ANTIOQUIA,MEDELLÍN,Unidad de cuidado intermedio adultos,8,29
,2024,ENERO,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,ANTIOQUIA,MEDELLÍN,Urgencias,63,94
,2024,ENERO,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,ANTIOQUIA,MEDELLÍN,UCI Adultos,51,86
,2024,ENERO,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,ANTIOQUIA,MEDELLÍN,Cirugia General,19,36
,2024,ENERO,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,ANTIOQUIA,MEDELLÍN,Medicina Interna,65,90
,2024,ENERO,CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES,ANTIOQUIA,MEDELLÍN,Unidad de cuidado intermedio adultos,29,47
,2024,ENERO,CLINICA PAJONAL LIMITADA,ANTIOQUIA,CAUCASIA,Urgencias,8,17
,2024,ENERO,CLINICA PAJONAL LIMITADA,ANTIOQUIA,CAUCASIA,UCI Adultos,5,24
,2024,ENERO,CLINICA PAJONAL LIMITADA,ANTIOQUIA,CAUCASIA,Cirugia General,4,6
,2024,ENERO,CLINICA PAJONAL LIMITADA,ANTIOQUIA,CAUCASIA,Medicina Interna,2,5
,2024,ENERO,CLINICA CENTRAL FUNDADORES APARTADO,ANTIOQUIA,APARTADÓ,Urgencias,16,44
,2024,ENERO,CLINICA CENTRAL FUNDADORES APARTADO,ANTIOQUIA,APARTADÓ,Ginecologia,9,17
,2024,ENERO,CLINICA CENTRAL FUNDADORES APARTADO,ANTIOQUIA,APARTADÓ,Pediatria (UCI o unidad de cuidado intermedio pediatrica),1,1
,2024,ENERO,CLINICA CENTRAL FUNDADORES APARTADO,ANTIOQUIA,APARTADÓ,UCI Adultos,7,13
,2024,ENERO,CLINICA CENTRAL FUNDADORES APARTADO,ANTIOQUIA,APARTADÓ,Cirugia General,1,1
,2024,ENERO,CLINICA CENTRAL FUNDADORES APARTADO,ANTIOQUIA,APARTADÓ,Medicina Interna,6,9
,2024,ENERO,SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A,ANTIOQUIA,RIONEGRO,Urgencias,39,102
,2024,ENERO,SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A,ANTIOQUIA,RIONEGRO,Obstetricia,6,11
,2024,ENERO,SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A,ANTIOQUIA,RIONEGRO,Neonatos (Unidad de cuidado intensivo o intermedio neonatal),22,37
,2024,ENERO,SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A,ANTIOQUIA,RIONEGRO,Pediatria (UCI o unidad de cuidado intermedio pediatrica),13,108
,2024,ENERO,SOCIEDAD MEDICA RIONEGRO S.A. SOMER S.A,ANTIOQUIA,RIONEGRO,UCI Adultos,30,212
